date,y_true,q10,q50,q90,evaluation_fold,lower,upper,alpha_t,method,tmax_f,precipitation_in,prior_day_tmax_f,prior_day_precipitation_in,raw_qr_width,aci_width,aci_one_sided_correction,lower_qr_spread,upper_qr_spread,spread_asymmetry,covered,lower_miss,upper_miss,temperature_group,prior_day_wet,predicted_demand_group,uncertainty_group,season
2024-02-07,14.55,14.447831160643036,14.63462474528792,15.456334789038571,5.0,14.21292268904247,15.691243260639135,0.2080000000000002,Two-sided ACI,49,0.0,54.0,0.0,1.0085036283955358,1.4783205715966652,0.23490847160056472,0.18679358464488516,0.8217100437506506,0.6349164591057654,True,False,False,20–40%,Dry prior day,20–40%,Remaining 90%,Winter
2024-02-08,14.58,13.707350621796497,13.887086105005023,14.23347167159056,5.0,13.472442150195931,14.468380143191126,0.2120000000000002,Two-sided ACI,52,0.0,49.0,0.0,0.5261210497940638,0.995937992995195,0.2349084716005656,0.1797354832085265,0.3463855665855373,0.16665008337701082,False,False,True,20–40%,Dry prior day,Lowest 20%,Remaining 90%,Winter
2024-02-09,14.4,14.12120720543312,14.454292351661518,15.13261930887962,5.0,13.833494514281368,15.42033200003137,0.1960000000000002,Two-sided ACI,44,0.0,52.0,0.0,1.0114121034465011,1.586837485750003,0.2877126911517509,0.3330851462283988,0.6783269572181023,0.3452418109897035,True,False,False,20–40%,Dry prior day,20–40%,Remaining 90%,Winter
2024-02-10,14.62,13.397151295247204,14.206147321048409,15.100756278669593,5.0,13.109438604095454,15.388468969821345,0.2000000000000002,Two-sided ACI,36,0.15,44.0,0.0,1.7036049834223892,2.279030365725891,0.2877126911517509,0.8089960258012052,0.894608957621184,0.08561293181997875,True,False,False,Coolest 20%,Dry prior day,20–40%,Remaining 90%,Winter
2024-02-11,14.74,14.16565770853272,14.480878769880787,14.924467438636023,5.0,13.890222852803458,15.199902294365288,0.2040000000000002,Two-sided ACI,39,0.0,36.0,0.15,0.7588097301033034,1.3096794415618298,0.2754348557292632,0.31522106134806727,0.44358866875523617,0.1283676074071689,True,False,False,Coolest 20%,Wet prior day,20–40%,Remaining 90%,Winter
2024-02-12,15.49,14.84413579648158,15.36906732741878,16.58132739442433,5.0,14.609227324881012,16.816235866024897,0.2080000000000002,Two-sided ACI,49,0.0,39.0,0.0,1.7371915979427506,2.2070085411438853,0.23490847160056738,0.5249315309371987,1.212260067005552,0.6873285360683532,True,False,False,Coolest 20%,Dry prior day,40–60%,Remaining 90%,Winter
2024-02-13,14.92,14.647883555593095,14.93028488039112,15.545907096348554,5.0,14.439009722970278,15.754780928971371,0.2120000000000002,Two-sided ACI,48,0.0,49.0,0.0,0.8980235407554584,1.3157712060010933,0.20887383262281745,0.28240132479802504,0.6156222159574334,0.33322089115940834,True,False,False,20–40%,Dry prior day,40–60%,Remaining 90%,Winter
2024-02-14,15.01,14.575683663274084,15.046207290765787,15.655508253738304,5.0,14.375674465110876,15.855517451901513,0.2160000000000002,Two-sided ACI,54,0.0,48.0,0.0,1.07982459046422,1.4798429867906364,0.20000919816320817,0.47052362749170307,0.609300962972517,0.13877733548081395,True,False,False,20–40%,Dry prior day,40–60%,Remaining 90%,Winter
2024-02-15,15.33,14.0358861383199,14.696339338303028,15.218210597354847,5.0,13.844346077126875,15.409750658547871,0.2200000000000002,Two-sided ACI,45,0.0,54.0,0.0,1.1823244590349482,1.5654045814209958,0.1915400611930238,0.6604531999831291,0.5218712590518191,-0.13858194093131004,True,False,False,20–40%,Dry prior day,20–40%,Remaining 90%,Winter
2024-02-16,14.53,14.558611094726103,15.05264198962558,15.572691208799656,5.0,14.3750966046465,15.75620569887926,0.2240000000000002,Two-sided ACI,36,0.11,45.0,0.0,1.0140801140735523,1.3811090942327606,0.1835144900796042,0.4940308948994758,0.5200492191740764,0.0260183242746006,True,False,False,Coolest 20%,Dry prior day,40–60%,Remaining 90%,Winter
