"date","total_actual_demand_mgd","total_projected_demand_mgd","actual_projected_demand","total_plant_demand_mgd"
"2025-03-18T00:00:00.000","12.7","14.09","0.9013484740951029098651525905","14.54"
"2025-03-19T00:00:00.000","12.51","14.14","0.8847241867043847241867043847","13.06"
"2025-03-20T00:00:00.000","13.19","14.21","0.9282195636875439831104855735","15.16"
"2025-03-21T00:00:00.000","13.45","14.32","0.9392458100558659217877094972","14.23"
"2025-03-22T00:00:00.000","13.18","14.14","0.9321074964639321074964639321","15.06"
"2025-03-23T00:00:00.000","14","14.27","0.9810791871058163980378416258","15.95"
"2025-03-24T00:00:00.000","16.16","14.48","1.116022099447513812154696133","18.22"
"2025-03-25T00:00:00.000","14.73","14.33","1.027913468248429867411025820","18.08"
"2025-03-26T00:00:00.000","16.4","14.4","1.138888888888888888888888889","20.39"
"2025-03-27T00:00:00.000","15.44","14.59","1.058259081562714187799862920","17.49"
"2025-03-28T00:00:00.000","14.67","14.54","1.008940852819807427785419532","16.15"
"2025-03-29T00:00:00.000","13.6","14.65","0.9283276450511945392491467577","15.48"
"2025-03-30T00:00:00.000","13.56","14.62","0.9274965800273597811217510260","14.76"
"2025-03-31T00:00:00.000","14.33","14.54","0.9855570839064649243466299862","17.33"
"2025-04-01T00:00:00.000","14.44","14.51","0.9951757408683666436940041351","15.94"
"2025-04-02T00:00:00.000","13.29","14.95","0.8889632107023411371237458194","15.5"
"2025-04-03T00:00:00.000","13.74","15.36","0.89453125","15.45"
"2025-04-04T00:00:00.000","13.74","15.63","0.8790786948176583493282149712","15.11"
"2025-04-05T00:00:00.000","13.55","15.34","0.8833116036505867014341590613","15.34"
"2025-04-06T00:00:00.000","14.14","15.59","0.9069916613213598460551635664","16.05"
"2025-04-07T00:00:00.000","13.46","15.78","0.8529784537389100126742712294","16.45"
"2025-04-08T00:00:00.000","14","15.52","0.9020618556701030927835051546","16.95"
"2025-04-09T00:00:00.000","14.93","15.75","0.9479365079365079365079365079","17.67"
"2025-04-10T00:00:00.000","16.04","15.97","1.004383218534752661239824671","17.01"
"2025-04-11T00:00:00.000","16.64","15.79","1.053831538948701709943001900","18.02"
"2025-04-12T00:00:00.000","16.78","15.87","1.057340894770006301197227473","16.85"
"2025-04-13T00:00:00.000","16.2","15.93","1.016949152542372881355932203","15.54"
"2025-04-14T00:00:00.000","16.41","15.73","1.043229497774952320406865861","17.58"
"2025-04-15T00:00:00.000","16.51","15.64","1.055626598465473145780051151","18.94"
"2025-04-16T00:00:00.000","16.47","15.74","1.046378653113087674714104193","18.91"
"2025-04-17T00:00:00.000","14.77","16.22","0.9106041923551171393341553637","16.32"
"2025-04-18T00:00:00.000","13.22","16.29","0.8115408225905463474524248005","13.39"
"2025-04-19T00:00:00.000","14.34","15.98","0.8973717146433041301627033792","13.6"
"2025-04-20T00:00:00.000","14.01","16.05","0.8728971962616822429906542056","14.22"
"2025-04-21T00:00:00.000","16.05","16.09","0.9975139838408949658172778123","17.06"
"2025-04-22T00:00:00.000","16.22","16.41","0.9884216940889701401584399756","19.97"
"2025-04-23T00:00:00.000","16.06","16.88","0.9514218009478672985781990521","20.34"
"2025-04-24T00:00:00.000","15.9","16.86","0.9430604982206405693950177936","19.76"
"2025-04-25T00:00:00.000","15.32","16.76","0.9140811455847255369928400955","17.43"
"2025-04-26T00:00:00.000","15.07","17.05","0.8838709677419354838709677419","16.28"
"2025-04-27T00:00:00.000","16.73","17.16","0.9749417249417249417249417249","19.5"
"2025-04-28T00:00:00.000","16.7","17.06","0.9788980070339976553341148886","21.43"
"2025-04-29T00:00:00.000","17.46","17.27","1.011001737116386797915460336","21.34"
"2025-04-30T00:00:00.000","17.54","17.69","0.9915206331260599208592425099","19.7"
"2025-05-01T00:00:00.000","16.86","17.89","0.9424259362772498602571268865","17.56"
"2025-05-02T00:00:00.000","18.28","18.3","0.9989071038251366120218579235","20.32"
"2025-05-03T00:00:00.000","18.76","19.04","0.9852941176470588235294117647","21.55"
"2025-05-04T00:00:00.000","18.86","19.11","0.9869178440607012035583464155","21.04"
"2025-05-05T00:00:00.000","18.43","19.17","0.9613980177360459050599895670","20.84"
"2025-05-06T00:00:00.000","16.41","19.06","0.8609653725078698845750262329","16.92"
"2025-05-07T00:00:00.000","16.55","19.02","0.8701366982124079915878023134","16.57"
"2025-05-08T00:00:00.000","17.26","18.6","0.9279569892473118279569892473","17.12"
"2025-05-09T00:00:00.000","18.6","18.21","1.021416803953871499176276771","20.43"
